Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
82	HEAT	AND	LIGHT
82	DID	NOT	SERUE
82	DID	NOT	DOUBT
82	CAR	WAS	FOUND
82	ARE	TOO	LARGE
82	AND	SHE	LICES
82	AND	ITS	STOCC
82	ALL	WAS	CWIET
82	ALL	TOO	EASILY
82	NOT	THAT	AMAS(I)NG
81	YOU	CAN	PRINT
81	YOU	CAN	FOCUS
81	WON	ITS	FIRST
81	WITH	ONE	STONE
81	WITH	HIS	UOICE
81	WITH	HIS	ELBOW
81	WITH	HER	LOUER
81	WITH	HER	EUERY
81	WHY	SHE	COULD
81	WAS	BE(I)NG	GIUEN
81	THIS	WAS	STILL
81	THEY	CAN	AUOID
81	THEY	ARE	TEACH(I)NG
81	THAT	ARE	CAUS(I)NG
81	MAN	WHO	MIGHT
81	FOR	THIS	STUFF
81	FOR	THIS	MOUIE
81	FOR	THIS	CHA(I)NGE
81	DOES	NOT	REUEAL
81	DOES	NOT	PROUE
81	DEATH	ROW	SINCE
81	CAN	NOT	SERUE
81	BUT	THAT	MACES
81	BUT	HIS	HANDS
81	ARE	YOU	PUTT(I)NG
81	AND	THEY	DROUE
81	AND	HIS	UISION
80	YOU	FOR	HELP(I)NG
80	WITH	THIS	METHOD
80	WHO	HAD	HOPED
80	THEN	WHY	WOULD
80	THAT	WAS	UNDER
80	THAT	TH(I)NGS	COULD
80	THAT	ARE	RUNN(I)NG
80	THAT	ARE	DRIU(I)NG
80	TWO	TH(I)NGS	ABOUT
80	TOO	BAD	ABOUT
80	SEE	THIS	MOUIE
80	PAN	WITH	COOC(I)NG
80	HOW	CAN	PEOPLE
80	HIS	HEAD	BOWED
80	HER	THIS	MORN(I)NG
80	HER	NEW	MOUIE
80	GET	THIS	STUFF
80	DOES	NOT	REALLY
80	DID	NOT	BUILD
80	CAN	NOT	ENTER
80	BUT	SHE	MIGHT
80	ARE	NOT	TACEN
80	AND	SHE	GIUES
80	ALL	DAY	TODAY
80	NOT	SAY	WHERE
79	YOU	CAN	CLICC
79	WITH	HIS	INDEX
79	WHO	WAS	RIGHT
79	WHO	ARE	WAIT(I)NG
79	WHO	ARE	LEARN(I)NG
79	WAS	HER	FAULT
79	TH(I)NGS	SHE	COULD
79	TH(I)NGS	FOR	WHICH
79	THIS	SAY	ABOUT
79	THEY	CAN	WRITE
79	THEY	BOTH	LAUGH
79	THEN	YOU	REALLY
79	THAT	WAY	SINCE
79	THAT	HAS	SPREAD
79	SHE	HAD	STOOD
79	OUT	HIS	TO(I)NGUE
79	OUT	HER	TO(I)NGUE
79	MAN	WAS	STILL
79	HIS	OWN	STATE
79	HIS	NEW	BRIDE
79	HAS	NOW	TACEN
79	DOES	THAT	CHA(I)NGE
79	DOES	NOT	SCARE
79	ARE	YOU	PLAY(I)NG
79	ARE	NOT	FOUND
79	AND	THEY	APPEAR
79	AND	TWO	HOURS
79	AND	SHE	CRIED
79	NOT	THAT	FUNNY
78	YOU	CAN	OFFER
78	WITH	HIS	UNCLE
78	WITH	HIS	CHILD
78	WITH	HIM	WHILE
78	WHO	HAD	ASCED
78	THIS	HAS	REALLY
78	THEY	CAN	SHARE
78	THAT	WAS	NEARLY
78	THAT	THEY	EXIST
78	THAT	THEY	ENJOY
78	SHE	NOW	LIUES
78	REP	TOM	DELAY
78	ONE	THAT	SEEMS
78	MEAN	THAT	PEOPLE
78	MEN	ARE	STILL
78	HOW	THIS	MIGHT
78	HIS	SON	WOULD
78	DOES	NOT	CWITE
78	DID	NOT	SPEND
78	BUT	SHE	THINCS
78	AND	THEN	BEGIN
77	YOU	CAN	SERUE
77	YOU	CAN	PLACE
77	YOU	CAN	LAUGH
77	WHO	HAS	FOUND
77	WHO	HAD	BUILT
77	WAS	DO(I)NG	ANYTH(I)NG
77	TH(I)NGS	THEY	WOULD
77	THIS	DAY	WOULD
77	THAN	HER	MOTHER
77	SHE	HAS	TRIED
77	SAY	THAT	WOMEN
77	SAW	HER	FATHER
77	RAN	HER	HANDS
77	ONE	CAN	NEUER
77	OFF	HIS	BOOTS
77	NOW	HAS	ABOUT
77	NOT	ANY	LO(I)NGER
77	MAN	WHO	MACES
77	MAN	WHO	LOOCS
77	GET	HIS	BEAR(I)NGS
77	FOR	HIM	AGAIN
77	DOES	NOT	ECWAL
77	DOES	NOT	SMOCE
77	DID	ALL	RIGHT
77	CAR	AND	HEADED
77	BUT	SHE	FEELS
77	ARE	NOT	ALONE
77	AND	THEY	ENDED
77	AND	SHE	HATED
77	AIR	WAS	STILL
76	WITH	ONE	CHILD
76	WHO	ARE	TRULY
76	WAS	THAT	WHILE
76	WAS	THAT	AFTER
76	THEM	THEY	COULD
76	THAT	THEY	LIUED
76	THAT	HIS	HANDS
76	THAT	ARE	CLOSE
76	SHE	WAS	HU(I)NGRY
76	OFF	HIS	CHEST
76	NOT	YET	TACEN
76	HER	OWN	TERMS
76	GET	HER	HANDS
76	FOR	THIS	PLACE
76	FOR	NOT	CNOW(I)NG
76	DOES	NOT	CLAIM
76	DOES	NOT	SPEND
76	CUT	AND	PASTE
76	CUP	SOY	SAUCE
76	ARE	NOT	ECWAL
76	AND	YOU	ASCED
76	AND	WAS	RUNN(I)NG
76	AND	THEN	WHERE
76	AND	THAT	MONEY
76	AGE	AND	OLDER
76	NOT	GET	UPSET
75	YOU	THIS	EUEN(I)NG
75	YOU	HAD	ASCED
75	YOU	CAN	TRACC
75	YOU	CAN	FIGHT
75	YOU	CAN	ENTER
75	WITH	OUR	FIRST
75	WITH	HER	UNTIL
75	WAY	THAT	MIGHT
75	WAS	NOT	STRO(I)NG
75	WAS	NOT	SMIL(I)NG
75	TH(I)NGS	CAN	CHA(I)NGE
75	THAT	HIS	GROUP
75	SIT	FOR	HOURS
75	PUT	THAT	ASIDE
75	ONE	THAT	LOOCS
75	LO(I)NG	AND	WIND(I)NG
75	GUY	WHO	WANTS
75	FOR	THAT	CHILD
75	DID	NOT	SMILE
75	DID	NOT	ENTER
75	CUT	AND	DRIED
75	CAN	NOT	WRITE
75	BUT	SHE	SEEMS
75	BUT	ONE	COULD
75	ARE	YOU	FIND(I)NG
75	ARE	NOT	OFTEN
75	AND	WAS	WAIT(I)NG
75	AND	WAS	GETT(I)NG
75	AND	THIS	MIGHT
75	AND	THEN	NEUER
75	AND	OUR	HEARTS
75	AND	ITS	POWER
75	NOT	SHY	ABOUT
74	WITH	YOU	RIGHT
74	WITH	ANY	CRIME
74	WHY	THEY	COULD
74	WHO	HAD	SHOWN
74	WHO	HAD	EARNED
74	THIS	WAS	CWITE
74	THEY	CAN	SERUE
74	THAT	WAS	CNOWN
74	THAT	MAY	EXIST
74	TOO	LO(I)NG	AFTER
74	SHE	HAD	OFTEN
74	PUT	BOTH	HANDS
74	HER	OWN	PLACE
74	HER	LO(I)NG	BLOND
74	HAD	NOT	SPENT
74	FOR	HIS	FINAL
74	FOR	HIM	AFTER
74	FOR	ANY	SIGNS
74	ANY	AND	EUERY
74	AND	WHO	WANTS
74	AND	THUS	COULD
74	AND	THIS	SEEMS
74	AND	SHE	CEEPS
74	AND	ITS	PLACE
74	AND	HIS	PEERS
74	AND	HER	SMILE
74	NOT	PUT	ANYTH(I)NG
74	NOT	GET	STUCC
73	YOU	GET	CLOSE
73	WITH	HIS	WORDS
73	WHO	THEY	REALLY
73	WAS	SHE	THINC(I)NG
73	THEY	ARE	PUSH(I)NG
73	THEY	ARE	PROUD
73	THEY	ARE	ALIUE
73	THEN	SHE	FOUND
73	THEN	HIS	FATHER
73	THAT	THEY	SPEND
73	OUT	FOR	LUNCH
73	ONE	WITH	WHICH
73	HOW	THIS	WOULD
73	HIS	OWN	SENSE
73	HAD	HIS	SHARE
73	FOR	THIS	MORN(I)NG
73	FOR	NEW	HOMES
73	DID	NOT	DETER
73	CAN	NOT	OCCUR
73	CAN	NOT	FORCE
73	BUT	HIS	FIRST
73	ARE	THEY	WILL(I)NG
73	AND	TWO	PEOPLE
73	ALL	THAT	WATER
72	WHO	ARE	SERU(I)NG
72	WAS	NOT	THINC(I)NG
72	WAS	NOT	ASCED
72	THIS	GUY	WOULD
72	THIS	GUY	COULD
72	THAT	SHE	LOOCS
72	SHE	HAD	SAUED
72	OLD	AND	TIRED
72	OLD	AND	STILL
72	MAN	WHO	SPENT
72	HOW	SHE	MIGHT
72	HOW	LO(I)NG	UNTIL
72	HIS	OWN	UISION
72	FOR	HER	WEDD(I)NG
72	DID	NOT	COUNT
72	BUT	THIS	WOMAN
72	AND	THEN	DRIUE
72	AND	NOW	PEOPLE
72	AND	HIS	SMALL
72	AND	HIS	AGENT
72	AND	HAD	FOUND
72	NOT	PAY	TAXES
71	YOU	CAN	PAINT
71	YOU	ARE	SEEC(I)NG
71	YOU	ARE	PUTT(I)NG
71	WON	HER	FIRST
71	WAS	NOT	GETT(I)NG
71	THIS	YEAR	COULD
71	THAT	YOU	LOUED
71	THAT	WAY	UNTIL
71	THAT	THEY	APPEAR
71	SHE	WAS	STRO(I)NG
71	SHE	WAS	HEADED
71	OUT	AND	GETT(I)NG
71	ONE	THAT	WORCS
71	HIS	OWN	CHILD
71	HER	SON	WOULD
71	GET	ANY	MONEY
71	FOR	TWO	ABOUT
71	FOR	ITS	MONEY
71	CAN	YOU	BLAME
71	CAN	NOT	CWITE
71	BUT	THEN	AFTER
71	BUT	SHE	SHOOC
71	AND	YOU	WROTE
71	AND	WAS	SITT(I)NG
71	AND	TAX	BREACS
71	AND	SEE	WHICH
71	AND	OLD	PEOPLE
71	AND	NOT	NEARLY
70	YOU	ARE	TODAY
70	WHO	ARE	BLACC
70	WAS	THIS	WOMAN
70	THIS	MAN	WOULD
70	THAT	WAY	AGAIN
70	THAT	THEY	LOUED
70	THAT	SHE	LIUED
70	THAT	HIS	UOICE
70	THAT	HAS	OFTEN
70	SHE	WAS	DRAWN
70	OUT	AND	FOUND
70	OUR	OWN	HOUSE
70	ONE	WHO	WANTS
70	NOW	THAT	PEOPLE
70	NOT	TOO	HAPPY
70	HOT	DOG	STAND
70	HIT	HIM	AGAIN
70	HAD	HER	HANDS
70	GOT	HER	START
70	FOR	THIS	MODEL
70	FOR	THAT	WHICH
70	FOR	EACH	STATE
70	DID	NOT	TASTE
70	DID	NOT	ORDER
70	AND	SHE	SPENT
70	AND	NOT	EUERY
70	AND	HIS	STORY
70	AND	HIS	SENSE
70	AND	GOD	CNOWS
70	NOT	YOU	WRITE
69	WITH	THEM	UNTIL
69	WITH	BIN	LADEN
69	WHO	ARE	HAPPY
69	WAS	NOT	BUILT
69	THIS	WAY	ABOUT
69	THEY	HAD	ABOUT
69	THEY	CAN	EITHER
69	THEY	ARE	WALC(I)NG
69	THEY	ARE	OLDER
69	THAT	HER	CHILD
69	THAT	HAS	EARNED
69	THAT	FOR	ABOUT
69	THAN	TWO	THIRDS
69	THAN	TEN	TIMES
69	THAN	DID	MALES
69	SHE	WAS	DRUNC
69	SHE	HAS	BEGUN
69	SHE	CAN	NEUER
69	OUR	OWN	SOLAR
69	ONE	WHO	FOUND
69	NOT	SEE	ANYTH(I)NG
69	JOB	THAT	WOULD
69	HIS	OWN	BRAND
69	FOR	HEAD	START
69	DID	NOT	CLOSE
69	CAN	NOT	SLEEP
69	CAN	NOT	BUILD
69	AND	WAS	WALC(I)NG
69	AND	THEN	WRITE
69	AND	LAW	FIRMS
69	AND	HEAT	UNTIL
69	AND	HAD	MOUED
68	YOU	CAN	PLANT
68	WITH	HIS	WHITE
68	WITH	HIS	PARTY
68	WAS	GO(I)NG	CRASY
68	THEY	CAN	RAISE
68	THEY	ARE	BUILT
68	THEY	AND	OTHERS
68	THEN	THEY	BEGAN
68	THEN	SHE	STOOD
68	THEN	HER	MOTHER
68	THAT	THIS	TREND
68	THAT	THIS	STUFF
68	THAT	CAN	STILL
68	THAT	ARE	TRULY
68	SHE	WAS	TURN(I)NG
68	SHE	WAS	FALL(I)NG
68	MAY	NOT	EXIST
68	MAN	WHO	TACES
68	MAN	WHO	OWNED
68	HOW	HER	FATHER
68	HIS	LO(I)NG	F(I)NGERS
68	HER	OWN	WORLD
68	HAS	OUR	STORY
68	FOR	NOT	TELL(I)NG
68	DID	YOU	AGREE
68	DEATH	AND	TAXES
68	CAN	NOT	MATCH
68	BUT	SHE	LOUED
68	BUT	NOT	RIGHT
68	ARE	YOU	TIRED
68	AND	THEY	OFFER
68	AND	THEN	MOUES
68	AND	THEN	LOOCS
68	AND	NOT	ALLOW
68	AND	HOW	CLOSE
68	AND	ALL	OTHERS
68	ALL	THAT	REALLY
68	ALL	SHE	WANTS
68	NOT	TOO	HAPPY
68	NOT	SEE	PEOPLE
67	YOU	ARE	HAPPY
67	WAS	THEN	CNOWN
67	WAS	NOT	UNDER
67	THIS	CAN	CAUSE
67	THEY	ARE	HUMAN
67	THEY	ARE	DRAWN
67	THEY	ARE	CWICC
67	THAT	THEY	CREATE
67	THAT	SHE	MACES
67	THAT	HAS	SHOWN
67	TEAM	THAT	COULD
67	SHE	WAS	TRULY
67	PUT	HIS	MONEY
67	ITS	OWN	BRAND
67	HOW	THAT	MIGHT
67	HAD	NOT	SHOWN
67	GUY	WHO	WROTE
67	FOR	THIS	MEET(I)NG
67	FOR	THAT	WOULD
67	FOR	EACH	GRADE
67	DOES	NOT	TOUCH
67	DOES	NOT	DRIUE
67	DID	NOT	DOUBT
67	DAY	AND	EUERY
67	BUT	SIX	MONTHS
67	AND	WAS	HAPPY
67	AND	NOT	UNTIL
67	AND	HIS	BLACC
67	AND	HER	FIONCE
66	WITH	YOU	UNTIL
66	WITH	THAT	ISSUE
66	WITH	TWO	WOMEN
66	WHO	WAS	CHIEF
66	WHO	ARE	HELP(I)NG
66	WAS	PUT	UNDER
66	TH(I)NGS	THEY	COULD
66	THEY	HAD	FIRST
66	THAT	HAS	BEGUN
66	SHE	WAS	SHOW(I)NG
66	OUT	AND	ASCED
66	MAN	WHO	THINCS
66	HEAR	ALL	ABOUT
66	HEAD	AND	LOOCS
66	HAS	NOT	LIUED
66	HAD	ITS	ROOTS
66	HAD	NOT	LIUED
66	DOES	NOT	RAISE
66	DOES	NOT	BUDGE
66	CAN	NOT	FATHOM
66	BUT	ONE	WHICH
66	BUT	NOT	OFTEN
66	BAR	AND	GRILL
66	ASC	HIM	WHERE
66	AREA	THAT	WOULD
66	ARE	YOU	SPEAC(I)NG
66	ARE	YOU	AWACE
66	ARE	NOW	CALL(I)NG
66	AND	THUS	WOULD
66	AND	THEY	LICED
66	AND	THEN	TACEN
66	AND	TWO	GIRLS
66	AND	MAY	CAUSE
66	ALL	ITS	GLORY
66	ACT	THAT	WOULD
65	YOU	CAN	CLIMB
65	YOU	CAN	CLAIM
65	YOU	ARE	TIRED
65	WAS	NOT	BREATH(I)NG
65	WAS	NOT	ASCED
65	THIS	YEAR	ABOUT
65	THIS	HAS	GIUEN
65	THEY	ALL	LIUED
65	THAT	HIS	WORDS
65	THAT	CAN	STAND
65	SHE	WAS	DREAM(I)NG
65	SHE	HAD	EUERY
65	SHE	ALL	RIGHT
65	SEX	AND	DRUGS
65	SEE	YOU	RIGHT
65	SEE	ITS	COUER
65	ONE	THAT	TACES
65	NOT	ALL	RIGHT
65	MAY	GOD	BLESS
65	HOW	FAR	APART
65	HIS	OWN	STYLE
65	FOR	EACH	CLASS
65	FOR	ANY	WOMAN
65	FAT	PER	SERU(I)NG
65	DOES	NOT	SOLUE
65	DOES	NOT	WRITE
65	DID	YOU	CATCH
65	DID	NOT	REUEAL
65	DEAL	WITH	EUERY
65	CUP	HOT	WATER
65	BUT	THIS	SEEMS
65	ARE	YOU	PROUD
65	ARE	REAL	PEOPLE
65	ARE	NOW	CNOWN
65	AND	THEN	TACES
65	AND	HAS	ASCED
65	AND	BAY	LEAUES
64	WITH	YOU	FIRST
64	WITH	THIS	MOUIE
64	WITH	THAT	GROUP
64	WITH	EACH	CHILD
64	WHO	WAS	HELP(I)NG
64	WHO	HAD	SAUED
64	WAY	SHE	LOOCS
64	THIS	WAS	TACEN
64	THEN	THEY	MIGHT
64	THAT	THIS	METHOD
64	THAT	THIS	CHA(I)NGE
64	SHE	WAS	STUCC
64	SHE	WAS	LEARN(I)NG
64	SHE	HAS	SHOWN
64	SHE	HAD	THROWN
64	PUT	THEM	UNDER
64	OUT	THAT	NIGHT
64	ONE	WHO	THINCS
64	NOW	YOU	COULD
64	NOW	SHE	WANTS
64	NOT	THAT	PEOPLE
64	LET	HER	SLEEP
64	HIM	AND	OTHERS
64	HEAT	FOR	ABOUT
64	HER	ALL	ABOUT
64	HAD	ALL	SORTS
64	FAR	TOO	SMALL
64	DID	NOT	REFER
64	CAN	NOT	TOUCH
64	BIT	HER	LOWER
64	ARE	NOT	TELL(I)NG
64	ARE	NOT	BOUND
64	AND	THEN	SPREAD
64	AND	THAT	OTHERS
64	AND	HAD	LIUED
64	ALL	THAT	NIGHT
64	NOT	SAY	WHICH
63	YOU	SEE	RIGHT
63	YOU	ARE	WRIT(I)NG
63	YOU	ARE	WALC(I)NG
63	WITH	THIS	PLACE
63	WITH	REAL	PEOPLE
63	WITH	ONE	WOMAN
63	WITH	HIS	RIFLE
63	WHY	YOU	MIGHT
63	WHO	HAD	STOOD
63	WAS	TOO	DRUNC
63	THEY	ALL	LAUGH
63	THEM	THIS	MORN(I)NG
63	THAT	THEY	STAND
63	THAT	THEY	EITHER
63	THAT	THAT	REALLY
63	THAT	HAS	ANYTH(I)NG
63	THAT	HAD	ENDED
63	THAT	CAN	ARISE
63	SHE	WAS	HELP(I)NG
63	SHE	WAS	FULLY
63	SHE	WAS	CEEP(I)NG
63	SEE	THAT	EUERY
63	PAY	FOR	ECWAL
63	OUT	AND	STOOD
63	OUT	AND	SHOOT
63	MAY	NOT	FULLY
63	MAY	NOT	APPLY
63	HOW	LO(I)NG	AFTER
63	HIS	OWN	STAFF
63	HAS	NOT	RULED
63	HAS	NOT	LIUED
63	HAD	NOT	SLEPT
63	HAD	HIS	FATHER
63	HAD	ANY	SENSE
63	GET	THAT	FEEL(I)NG
63	FOR	WHO	CNOWS
63	DOES	NOT	BLAME
63	CAN	NOT	CARRY
63	BUT	WHO	WANTS
63	BUT	THIS	PLACE
63	BIG	TEN	TITLE
63	ASC	YOU	AGAIN
63	ARE	BE(I)NG	SPENT
63	AND	WITH	WHICH
63	AND	WAS	REALLY
63	AND	THIS	COMES
63	AND	THEN	WATCH
63	AND	THEN	MACES
63	AND	THAT	LEAUES
63	AND	THAT	AFTER
63	AND	SHE	HOPED
63	AND	ONE	COUNT
63	AND	NOT	LOOC(I)NG
63	AND	LOW	UISION
63	AND	ITS	SOCIOL
63	AND	FOR	ABOUT
62	YOU	MEAN	ABOUT
62	YOU	ARE	EITHER
62	WITH	THEM	AGAIN
62	WITH	SOY	SAUCE
62	WITH	ITS	FOCUS
62	WITH	HER	CNEES
62	WHO	ARE	CALL(I)NG
62	WAS	TOO	SMART
62	THIS	WAS	GETT(I)NG
62	THIS	FOR	ABOUT
62	THEY	CAN	OFTEN
62	THEY	ARE	TURN(I)NG
62	THEN	THEY	FOUND
62	THAT	YOU	SPEND
62	THAT	WAS	AMAS(I)NG
62	THAT	THEY	OFFER
62	THAT	SHE	TRIED
62	THAT	HER	UOICE
62	THAT	ARE	WITHIN
62	THAN	ONE	CHILD
62	ONE	WAS	ABOUT
62	NOW	THEY	COULD
62	HOW	YOU	FEEL(I)NG
62	HIS	OWN	RULES
62	HAS	ALL	CINDS
62	HAD	THEY	CNOWN
62	FAT	AND	SUGAR
62	EACH	AGE	GROUP
62	DOES	NOT	SLEEP
62	DID	YOU	BEGIN
62	AND	THIS	STORY
62	AND	THEY	CLAIM
62	AND	THEN	TURN(I)NG
62	AND	THEN	LOOC(I)NG
62	AND	HIS	SENIOR
62	AND	HAS	FOUND
62	AND	CUP	WATER
62	NOT	END	UNTIL
61	YOU	THIS	STORY
61	YOU	GET	REALLY
61	WITH	THIS	NOTION
61	WHY	THEY	CHOSE
61	WAS	THAT	NIGHT
61	WAS	AND	WHERE
61	WAS	NOT	CNOWN
61	US(I)NG	THIS	METHOD
61	THEY	READ	ABOUT
61	THEY	CAN	STAND
61	THEY	ARE	STRO(I)NG
61	THEY	ARE	MISS(I)NG
61	THAT	WAS	OFTEN
61	THAT	THEY	HOPED
61	THAT	THEY	CLAIM
61	THAT	THEY	CHOSE
61	THAT	ARE	MISS(I)NG
61	THAT	ARE	GROW(I)NG
61	SHE	WAS	PULL(I)NG
61	SHE	HAS	GROWN
61	SHE	HAD	REALLY
61	PAY	ITS	BILLS
61	OUR	OWN	HANDS
61	ONE	CAN	STILL
61	NOW	WHY	WOULD
61	NOT	BE(I)NG	TACEN
61	NEW	HEAD	COACH
61	HOW	THEY	SPEND
61	HOW	LO(I)NG	SINCE
61	HIS	OWN	MUSIC
61	HEAD	AND	CHEST
61	HER	OWN	SENSE
61	HAD	THIS	FEEL(I)NG
61	HAD	THAT	FEEL(I)NG
61	GUY	WHO	LICES
61	GUY	WHO	CNOWS
61	FOR	THAT	MONEY
61	FOR	LO(I)NG	HOURS
61	FOR	HIS	UIEWS
61	DOES	NOT	E(I)NGAGE
61	DID	NOT	CROSS
61	CAN	SEE	PEOPLE
61	ARE	SET	ASIDE
61	AND	WHY	PEOPLE
61	AND	OUR	WORLD
61	AND	ITS	STAFF
61	AND	HAS	SHOWN
61	NOT	HAD	ANYTH(I)NG
60	WITH	THIS	CHILD
60	WHO	WAS	WALC(I)NG
60	WHO	ARE	GIUEN
60	WAS	NOT	HELP(I)NG
60	THEY	ALL	STOOD
60	THAT	WAS	TRULY
60	THAT	THIS	WORLD
60	THAT	THEY	BELO(I)NG
60	THAT	SHE	SPENT
60	THAT	HAD	STOOD
60	THAN	SIX	WEECS
60	SAY	YOU	WOULD
60	READ	THIS	STORY
60	PAY	ANY	PRICE
60	OUR	NEW	HOUSE
60	MAN	WHO	WORCS
60	IDEA	THAT	WOMEN
60	HIS	OWN	SMALL
60	HIS	CAR	PHONE
60	HIM	OFF	GUARD
60	HAS	HIS	HANDS
60	GET	OUT	ALIUE
60	FOR	THIS	PERIOD
60	FOR	THAT	GROUP
60	FOR	OLD	TIMES
60	FOR	HER	PURSE
60	DOES	NOT	WATCH
60	DOES	NOT	RAISE
60	DOES	NOT	APPEAL
60	DID	NOT	ARGUE
60	DID	NOT	ADMIT
60	CAN	NOT	CREATE
60	BUT	THAT	NEUER
60	AND	NOT	LETT(I)NG
60	AND	HIS	WORLD
60	AND	HIS	SHIRT
60	AND	HIS	CHEST
60	AIR	AND	NAUAL
59	YOU	THAT	RIGHT
59	YOU	CAN	TRACE
59	YOU	ALL	AGAIN
59	WITH	ANY	SENSE
59	WHO	WAS	FIRST
59	WAY	HER	MOTHER
59	WAS	ANY	DOUBT
59	THIS	ONE	ABOUT
59	THEY	ARE	SPEAC(I)NG
59	THEY	ARE	CEEP(I)NG
59	THEN	THEY	MOUED
59	THEM	OUT	AGAIN
59	THAT	WAS	TOUGH
59	THAT	SHE	OFTEN
59	THAT	HIS	PEOPLE
59	TOO	FAR	APART
59	SHE	WAS	WHITE
59	SHE	WAS	TEACH(I)NG
59	SHE	HAS	EARNED
59	PUT	THAT	MONEY
59	PER	CUP	SERU(I)NG
59	OUT	HIS	CHEST
59	OUR	OWN	MILCY
59	NOT	BE(I)NG	GIUEN
59	MAN	WHO	LICES
59	LU(I)NG	AND	BLOOD
59	IDEA	THAT	WOULD
59	HAD	ANY	MONEY
59	GAS	AND	WATER
59	FOR	ONE	BRIEF
59	FAT	AND	HAPPY
59	DOES	NOT	FOCUS
59	DOES	NOT	BOTHER
59	DOES	NOT	STICC
59	DOES	NOT	SMILE
59	DID	NOT	DRINC
59	DAY	THEY	WOULD
59	BUT	TWO	MONTHS
59	BOW	AND	STERN
59	AND	WAS	CWITE
59	AND	THIS	STUDY
59	AND	THEY	SPEND
59	AND	THEN	BUILD
59	AND	THAT	OFTEN
59	AND	THAT	EUEN(I)NG
59	AND	THAT	ALONE
59	AND	ONE	MIGHT
59	AND	HIS	PLACE
59	AND	ARE	BASED
59	NOT	LO(I)NG	AFTER
58	YOU	CAN	SOLUE
58	YOU	CAN	LOWER
58	WITH	THAT	FIRST
58	WITH	HIS	WHOLE
58	WITH	HIS	STICC
58	WHO	WAS	SEATED
58	WAS	THAT	WOMEN
58	WAS	NOT	ABOUE
58	THEY	HAD	EUERY
58	THEY	CAN	APPLY
58	THEY	ARE	DRIU(I)NG
58	THEM	THEY	WOULD
58	THAT	YOU	LICED
58	THAT	YOU	ENJOY
58	THAT	THIS	MOUIE
58	THAT	THIS	EUENT
58	THAT	THEY	CARRY
58	THAT	TWO	WEECS
58	THAT	SHE	HOPED
58	THAT	SHE	HATED
58	THAT	HER	FIRST
58	THAN	HIS	MOTHER
58	SHE	HAD	SHOWN
58	SHE	GOT	OLDER
58	SEE	HIM	EUERY
58	SEE	HER	FATHER
58	SEE	BOTH	SIDES
58	SEE	ANY	SIGNS
58	SEE	ALL	CINDS
58	RAN	HIS	TO(I)NGUE
58	PAY	FOR	ANYTH(I)NG
58	OUT	WITH	PEOPLE
58	ONE	THAT	GIUES
58	ONE	DAY	LATER
58	OFF	OUR	BACCS
58	MAY	NOT	REALLY
58	MAN	WHO	FIRST
58	ITS	OWN	MONEY
58	HIS	OWN	WRIT(I)NG
58	HIS	OWN	UIEWS
58	HIM	THAT	MORN(I)NG
58	HEAT	AND	POWER
58	HEAD	AND	TRIED
58	HAS	NOT	ENDED
58	GOT	ITS	FIRST
58	FOR	BOTH	WOMEN
58	DOES	NOT	ALTER
58	DID	NOT	SOLUE
58	BUT	SHE	CEEPS
58	ARE	NOT	UNDER
58	AND	WAS	HIRED
58	AND	THEY	WORRY
58	AND	THEY	SHARE
58	AND	THEN	WALCS
58	AND	TWO	LARGE
58	AND	ONE	MORN(I)NG
58	AND	OLD	ALICE
58	AND	HIS	RUNN(I)NG
58	AND	HIS	MONEY
58	AND	HIS	HORSE
58	AND	HAS	GROWN
58	AND	CAN	NEUER
58	ALL	THIS	MACES
58	NOT	LIE	ABOUT
58	NOT	GET	WORSE
57	YOU	SEE	TODAY
57	YOU	HAD	CNOWN
57	YOU	GET	ABOUT
57	YOU	ASC	ABOUT
57	YOU	ARE	SPEAC(I)NG
57	YOU	ARE	DRIU(I)NG
57	YOU	ARE	CRASY
57	WITH	HER	STORY
57	WITH	HER	FISTS
57	WITH	HER	ELBOW
57	WHO	WAS	ASCED
57	WHO	ARE	PUTT(I)NG
57	WAS	TOO	RISCY
57	WAS	GO(I)NG	AFTER
57	WAS	NOT	WHERE
57	THEY	ARE	WOMEN
57	THEY	ARE	SHOW(I)NG
57	THEN	SHE	LEANED
57	THEM	WITH	WATER
57	THAT	OUR	FIRST
57	THAN	THAT	FOUND
57	TEAM	THAT	WOULD
57	SHE	WAS	PUSH(I)NG
57	SHE	WAS	BEATEN
57	SHE	HAD	DRAWN
57	SHE	HAD	CRIED
57	SAY	THAT	SINCE
57	RAN	FOR	MAYOR
57	NOT	AND	NEUER
57	HIS	OWN	FAULT
57	HIM	FOR	ABOUT
57	HIM	AND	TRIED
57	HEAD	AND	TORSO
57	HER	NEW	NOUEL
57	HAD	TWO	GOALS
57	FOR	ONE	CHILD
57	FOR	ANY	CHILD
57	DO(I)NG	THIS	MORN(I)NG
57	DO(I)NG	ALL	CINDS
57	DID	NOT	PRESS
57	CUT	OFF	FUND(I)NG
57	CAN	YOU	PROUE
57	CAN	NOT	SHARE
57	CAN	LAY	CLAIM
57	CAN	GET	ANYTH(I)NG
57	BUT	NOT	SMOC(I)NG
57	BUT	HER	HANDS
57	ARE	TOO	SHORT
57	AND	WAS	HOLD(I)NG
57	AND	ONE	BLACC
57	AND	LO(I)NG	HOURS
57	AND	LET	LOOSE
